key,0,1,2,3,4,5,6,7,8,9
#,Category,SubType,Image,,UnlockCondition,,,,SortKey,Name
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,byte,uint16,str
0,0,0,,0,"BannerCondition#1",0,0,0,0,"Aucun"
1,2,0,"ui/icon/194000/194002.tex",0,"BannerCondition#1",0,0,1,1,"Brillant"
2,2,0,"ui/icon/194000/194003.tex",0,"BannerCondition#1",0,0,1,6,"Carrés"
3,2,0,"ui/icon/194000/194004.tex",0,"BannerCondition#1",0,0,1,7,"Pointillés"
4,2,0,"ui/icon/194000/194005.tex",0,"BannerCondition#1",0,0,1,8,"Damier"
5,2,0,"ui/icon/194000/194006.tex",0,"BannerCondition#1",0,0,1,2,"Quadrillage"
6,2,0,"ui/icon/194000/194007.tex",0,"BannerCondition#1",0,0,1,3,"Traits diagonaux"
7,2,0,"ui/icon/194000/194008.tex",0,"BannerCondition#1",0,0,1,4,"Séparation diagonale"
8,2,0,"ui/icon/194000/194009.tex",0,"BannerCondition#1",0,0,1,5,"Triangles"
9,2,0,"ui/icon/194000/194010.tex",0,"BannerCondition#1",0,0,1,10,"Parchemin"
10,2,0,"ui/icon/194000/194011.tex",0,"BannerCondition#1",0,0,1,9,"Coins décorés"
11,1,0,"ui/icon/195000/195002.tex",0,"BannerCondition#1",0,0,1,1,"Ombre portée"
12,1,0,"ui/icon/195000/195003.tex",0,"BannerCondition#1",0,0,1,2,"Liseré lumineux"
13,1,0,"ui/icon/195000/195004.tex",0,"BannerCondition#1",0,0,1,3,"Violet à pois"
14,1,0,"ui/icon/195000/195005.tex",0,"BannerCondition#1",0,0,1,4,"Carnet"
15,1,0,"ui/icon/195000/195006.tex",0,"BannerCondition#1",0,0,1,5,"Fouillis"
16,1,0,"ui/icon/195000/195007.tex",0,"BannerCondition#1",0,0,1,6,"Cercles magiques"
17,1,0,"ui/icon/195000/195008.tex",0,"BannerCondition#1",0,0,1,7,"Parchemin"
18,1,0,"ui/icon/195000/195009.tex",0,"BannerCondition#1",0,0,1,8,"Coups de pinceau"
19,1,0,"ui/icon/195000/195010.tex",0,"BannerCondition#1",0,0,1,9,"Panneau métallique"
20,1,0,"ui/icon/195000/195011.tex",0,"BannerCondition#1",0,0,1,10,"Livre"
21,3,0,"ui/icon/197000/197002.tex",0,"BannerCondition#1",0,0,1,3,"Bannière"
22,3,0,"ui/icon/197000/197003.tex",0,"BannerCondition#1",0,0,1,4,"Rappelé"
23,3,0,"ui/icon/197000/197004.tex",0,"BannerCondition#1",0,0,1,5,"Cercle de métal"
24,3,0,"ui/icon/197000/197005.tex",0,"BannerCondition#1",0,0,1,6,"Bannière tank"
25,3,0,"ui/icon/197000/197006.tex",0,"BannerCondition#1",0,0,1,8,"Bannière DPS"
26,3,0,"ui/icon/197000/197007.tex",0,"BannerCondition#1",0,0,1,7,"Bannière soigneur"
27,3,0,"ui/icon/197000/197008.tex",0,"BannerCondition#1",0,0,1,1,"Beige"
28,3,0,"ui/icon/197000/197009.tex",0,"BannerCondition#1",0,0,1,2,"En relief"
29,3,0,"ui/icon/197000/197010.tex",0,"BannerCondition#1",0,0,1,9,"Mémos"
30,3,0,"ui/icon/197000/197011.tex",0,"BannerCondition#1",0,0,1,10,"Fouillis"
31,4,0,"ui/icon/198000/198002.tex",0,"BannerCondition#1",0,0,1,3,"Noir"
32,4,0,"ui/icon/198000/198003.tex",0,"BannerCondition#1",0,0,1,2,"Blanc"
33,4,0,"ui/icon/198000/198004.tex",0,"BannerCondition#1",0,0,1,5,"Gemmes en relief"
34,4,0,"ui/icon/198000/198005.tex",0,"BannerCondition#1",0,0,1,4,"Gemmes simples"
35,4,0,"ui/icon/198000/198006.tex",0,"BannerCondition#1",0,0,1,6,"Limsa Lominsa"
36,4,0,"ui/icon/198000/198007.tex",0,"BannerCondition#1",0,0,1,7,"Gridania"
37,4,0,"ui/icon/198000/198008.tex",0,"BannerCondition#1",0,0,1,8,"Ul'dah"
38,4,0,"ui/icon/198000/198009.tex",0,"BannerCondition#1",0,0,1,1,"Métallique"
39,4,0,"ui/icon/198000/198010.tex",0,"BannerCondition#298",0,0,1,10,"Triple Triade EX"
40,4,0,"ui/icon/198000/198011.tex",0,"BannerCondition#298",0,0,1,9,"Triple Triade"
41,5,0,"ui/icon/199000/199002.tex",0,"BannerCondition#1",0,0,1,1,"Gils"
42,5,0,"ui/icon/199000/199003.tex",0,"BannerCondition#1",0,0,1,2,"Plume et encrier"
43,5,0,"ui/icon/199000/199004.tex",0,"BannerCondition#1",0,0,1,3,"Autocollants"
44,5,0,"ui/icon/199000/199005.tex",0,"BannerCondition#1",0,0,1,4,"Carte"
45,5,0,"ui/icon/199000/199006.tex",0,"BannerCondition#1",0,0,1,5,"Ruban"
46,5,0,"ui/icon/199000/199007.tex",0,"BannerCondition#1",0,0,1,6,"Lettres"
47,5,0,"ui/icon/199000/199008.tex",0,"BannerCondition#1",0,0,1,7,"Notes de musique"
48,5,0,"ui/icon/199000/199009.tex",0,"BannerCondition#1",0,0,1,8,"Bouquet de fleurs"
49,5,0,"ui/icon/199000/199010.tex",0,"BannerCondition#1",0,0,1,9,"Mémos"
