key,0,1,2,3,4,5,6,7,8
#,Image,Icon,,UnlockCondition,,,SortKey,Name,
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,uint16,str
0,,"ui/icon/082000/082093.tex",0,"BannerCondition#0",0,0,0,0,"Aucune"
1,"ui/icon/192000/192001.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,1,"Aucune"
2,"ui/icon/192000/192002.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,2,"Lauriers"
3,"ui/icon/192000/192003.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,10,"Cœurs"
4,"ui/icon/192000/192004.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,11,"Étoiles"
5,"ui/icon/192000/192005.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,12,"Tank"
6,"ui/icon/192000/192006.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,14,"DPS"
7,"ui/icon/192000/192007.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,13,"Soigneur"
8,"ui/icon/192000/192008.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,32,"Étincelles"
9,"ui/icon/192000/192009.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,16,"Petons mignons"
10,"ui/icon/192000/192010.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,17,"Point d'exclamation"
11,"ui/icon/192000/192011.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,0,18,"Point d'interrogation"
12,"ui/icon/192000/192301.tex","ui/icon/082000/082093.tex",2,"BannerCondition#124",0,0,0,2150,"Paladin"
13,"ui/icon/192000/192302.tex","ui/icon/082000/082093.tex",2,"BannerCondition#125",0,0,0,2151,"Guerrier"
14,"ui/icon/192000/192303.tex","ui/icon/082000/082093.tex",2,"BannerCondition#126",0,0,0,2152,"Chevalier noir"
15,"ui/icon/192000/192304.tex","ui/icon/082000/082093.tex",2,"BannerCondition#127",0,0,0,2153,"Pistosabreur"
16,"ui/icon/192000/192305.tex","ui/icon/082000/082093.tex",2,"BannerCondition#128",0,0,0,2154,"Mage blanc"
17,"ui/icon/192000/192306.tex","ui/icon/082000/082093.tex",2,"BannerCondition#129",0,0,0,2155,"Érudit"
