key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
18,"Battle","Comme un ouragan","Vaincre Garuda dans la bataille “Destruction de Garuda”.",5," / ","","ui/icon/062000/062912.tex",2,0,,,,,,,,,,0,1,"AchievementHideCondition#0"
19,"Disciples of War","Apprenti gladiateur","Atteindre le niveau 10 avec la classe gladiateur.",5," / ","","ui/icon/030000/030408.tex",3,3,"gladiator",,,,,,,,,1,1,"AchievementHideCondition#0"
20,"Disciples of War","Gladiateur novice","Atteindre le niveau 20 avec la classe gladiateur.",5," / ","","ui/icon/030000/030408.tex",3,3,"gladiator",,,,,,,,,2,1,"AchievementHideCondition#0"
21,"Disciples of War","Gladiateur intermédiaire","Atteindre le niveau 30 avec la classe gladiateur.",5," / ","","ui/icon/030000/030408.tex",3,3,"gladiator",,,,,,,,,3,1,"AchievementHideCondition#0"
22,"Disciples of War","Gladiateur confirmé","Atteindre le niveau 40 avec la classe gladiateur.",5," / ","","ui/icon/030000/030408.tex",3,3,"gladiator",,,,,,,,,4,1,"AchievementHideCondition#0"
23,"Disciples of War","Gladiateur vétéran","Atteindre le niveau 50 avec la classe gladiateur.",5," / ","","ui/icon/030000/030408.tex",3,3,"gladiator",,,,,,,,,5,1,"AchievementHideCondition#0"
24,"Disciples of War","Apprenti pugiliste","Atteindre le niveau 10 avec la classe pugiliste.",5," / ","","ui/icon/031000/031004.tex",3,3,"pugilist",,,,,,,,,21,1,"AchievementHideCondition#0"
25,"Disciples of War","Pugiliste novice","Atteindre le niveau 20 avec la classe pugiliste.",5," / ","","ui/icon/031000/031004.tex",3,3,"pugilist",,,,,,,,,22,1,"AchievementHideCondition#0"
26,"Disciples of War","Pugiliste intermédiaire","Atteindre le niveau 30 avec la classe pugiliste.",5," / ","","ui/icon/031000/031004.tex",3,3,"pugilist",,,,,,,,,23,1,"AchievementHideCondition#0"
27,"Disciples of War","Pugiliste confirmé","Atteindre le niveau 40 avec la classe pugiliste.",5," / ","","ui/icon/031000/031004.tex",3,3,"pugilist",,,,,,,,,24,1,"AchievementHideCondition#0"
28,"Disciples of War","Pugiliste vétéran","Atteindre le niveau 50 avec la classe pugiliste.",5," / ","","ui/icon/031000/031004.tex",3,3,"pugilist",,,,,,,,,25,1,"AchievementHideCondition#0"
29,"Disciples of War","Apprenti maraudeur","Atteindre le niveau 10 avec la classe maraudeur.",5," / ","","ui/icon/031000/031409.tex",3,3,"marauder",,,,,,,,,41,1,"AchievementHideCondition#0"
30,"Disciples of War","Maraudeur novice","Atteindre le niveau 20 avec la classe maraudeur.",5," / ","","ui/icon/031000/031409.tex",3,3,"marauder",,,,,,,,,42,1,"AchievementHideCondition#0"
31,"Disciples of War","Maraudeur intermédiaire","Atteindre le niveau 30 avec la classe maraudeur.",5," / ","","ui/icon/031000/031409.tex",3,3,"marauder",,,,,,,,,43,1,"AchievementHideCondition#0"
32,"Disciples of War","Maraudeur confirmé","Atteindre le niveau 40 avec la classe maraudeur.",5," / ","","ui/icon/031000/031409.tex",3,3,"marauder",,,,,,,,,44,1,"AchievementHideCondition#0"
33,"Disciples of War","Maraudeur vétéran","Atteindre le niveau 50 avec la classe maraudeur.",5," / ","","ui/icon/031000/031409.tex",3,3,"marauder",,,,,,,,,45,1,"AchievementHideCondition#0"
34,"Disciples of War","Apprenti maître d'hast","Atteindre le niveau 10 avec la classe maître d'hast.",5," / ","","ui/icon/031000/031816.tex",3,3,"lancer",,,,,,,,,61,1,"AchievementHideCondition#0"
35,"Disciples of War","Maître d'hast novice","Atteindre le niveau 20 avec la classe maître d'hast.",5," / ","","ui/icon/031000/031816.tex",3,3,"lancer",,,,,,,,,62,1,"AchievementHideCondition#0"
36,"Disciples of War","Maître d'hast intermédiaire","Atteindre le niveau 30 avec la classe maître d'hast.",5," / ","","ui/icon/031000/031816.tex",3,3,"lancer",,,,,,,,,63,1,"AchievementHideCondition#0"
37,"Disciples of War","Maître d'hast confirmé","Atteindre le niveau 40 avec la classe maître d'hast.",5," / ","","ui/icon/031000/031816.tex",3,3,"lancer",,,,,,,,,64,1,"AchievementHideCondition#0"
38,"Disciples of War","Maître d'hast vétéran","Atteindre le niveau 50 avec la classe maître d'hast.",5," / ","","ui/icon/031000/031816.tex",3,3,"lancer",,,,,,,,,65,1,"AchievementHideCondition#0"
39,"Disciples of War","Apprenti archer","Atteindre le niveau 10 avec la classe archer.",5," / ","","ui/icon/032000/032204.tex",3,3,"archer",,,,,,,,,81,1,"AchievementHideCondition#0"
40,"Disciples of War","Archer novice","Atteindre le niveau 20 avec la classe archer.",5," / ","","ui/icon/032000/032204.tex",3,3,"archer",,,,,,,,,82,1,"AchievementHideCondition#0"
41,"Disciples of War","Archer intermédiaire","Atteindre le niveau 30 avec la classe archer.",5," / ","","ui/icon/032000/032204.tex",3,3,"archer",,,,,,,,,83,1,"AchievementHideCondition#0"
42,"Disciples of War","Archer confirmé","Atteindre le niveau 40 avec la classe archer.",5," / ","","ui/icon/032000/032204.tex",3,3,"archer",,,,,,,,,84,1,"AchievementHideCondition#0"
43,"Disciples of War","Archer vétéran","Atteindre le niveau 50 avec la classe archer.",5," / ","","ui/icon/032000/032204.tex",3,3,"archer",,,,,,,,,85,1,"AchievementHideCondition#0"
44,"General","Maître de la guerre","Atteindre le niveau 50 avec les classes gladiateur, pugiliste, maraudeur, archer et maître d'hast.",20,"Warmonger / Warmonger","","ui/icon/002000/002547.tex",1,26,,,,,,,,,,1,1,"AchievementHideCondition#0"
45,"Disciples of Magic","Apprenti élémentaliste","Atteindre le niveau 10 avec la classe élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te.",5," / ","","ui/icon/032000/032611.tex",3,3,"conjurer",,,,,,,,,1,1,"AchievementHideCondition#0"
46,"Disciples of Magic","Elémentaliste novice","Atteindre le niveau 20 avec la classe élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te.",5," / ","","ui/icon/032000/032611.tex",3,3,"conjurer",,,,,,,,,2,1,"AchievementHideCondition#0"
47,"Disciples of Magic","Elémentaliste intermédiaire","Atteindre le niveau 30 avec la classe élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te.",5," / ","","ui/icon/032000/032611.tex",3,3,"conjurer",,,,,,,,,3,1,"AchievementHideCondition#0"
48,"Disciples of Magic","Elémentaliste confirmé","Atteindre le niveau 40 avec la classe élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te.",5," / ","","ui/icon/032000/032611.tex",3,3,"conjurer",,,,,,,,,4,1,"AchievementHideCondition#0"
49,"Disciples of Magic","Elémentaliste vétéran","Atteindre le niveau 50 avec la classe élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te.",5," / ","","ui/icon/032000/032611.tex",3,3,"conjurer",,,,,,,,,5,1,"AchievementHideCondition#0"
50,"Disciples of Magic","Apprenti occultiste","Atteindre le niveau 10 avec la classe occultiste.",5," / ","","ui/icon/032000/032806.tex",3,3,"thaumaturge",,,,,,,,,21,1,"AchievementHideCondition#0"
51,"Disciples of Magic","Occultiste novice","Atteindre le niveau 20 avec la classe occultiste.",5," / ","","ui/icon/032000/032806.tex",3,3,"thaumaturge",,,,,,,,,22,1,"AchievementHideCondition#0"
52,"Disciples of Magic","Occultiste intermédiaire","Atteindre le niveau 30 avec la classe occultiste.",5," / ","","ui/icon/032000/032806.tex",3,3,"thaumaturge",,,,,,,,,23,1,"AchievementHideCondition#0"
53,"Disciples of Magic","Occultiste confirmé","Atteindre le niveau 40 avec la classe occultiste.",5," / ","","ui/icon/032000/032806.tex",3,3,"thaumaturge",,,,,,,,,24,1,"AchievementHideCondition#0"
54,"Disciples of Magic","Occultiste vétéran","Atteindre le niveau 50 avec la classe occultiste.",5," / ","","ui/icon/032000/032806.tex",3,3,"thaumaturge",,,,,,,,,25,1,"AchievementHideCondition#0"
55,"General","Maître de la magie","Atteindre le niveau 50 avec les classes élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te, occultiste et arcaniste.",20,"Archmage / Archmage","","ui/icon/002000/002658.tex",1,26,,,,,,,,,,2,1,"AchievementHideCondition#0"
56,"General","Maître du corps et de l'esprit","Accomplir les hauts faits “Maître de la guerre” et “Maître de la magie”.",30," / ","Paragon's Crown","ui/icon/002000/002517.tex",4,2,"Mastering War I","Mastering Magic I",,,,,,,,3,1,"AchievementHideCondition#0"
57,"Disciples of the Hand","Apprenti menuisier","Atteindre le niveau 10 avec la classe menuisier.",5," / ","","ui/icon/035000/035001.tex",3,3,"carpenter",,,,,,,,,1,1,"AchievementHideCondition#0"
58,"Disciples of the Hand","Menuisier novice","Atteindre le niveau 20 avec la classe menuisier.",5," / ","","ui/icon/035000/035001.tex",3,3,"carpenter",,,,,,,,,2,1,"AchievementHideCondition#0"
59,"Disciples of the Hand","Menuisier intermédiaire","Atteindre le niveau 30 avec la classe menuisier.",5," / ","","ui/icon/035000/035001.tex",3,3,"carpenter",,,,,,,,,3,1,"AchievementHideCondition#0"
60,"Disciples of the Hand","Menuisier confirmé","Atteindre le niveau 40 avec la classe menuisier.",5," / ","","ui/icon/035000/035001.tex",3,3,"carpenter",,,,,,,,,4,1,"AchievementHideCondition#0"
61,"Disciples of the Hand","Menuisier vétéran","Atteindre le niveau 50 avec la classe menuisier.",5," / ","","ui/icon/035000/035001.tex",3,3,"carpenter",,,,,,,,,5,1,"AchievementHideCondition#0"
62,"Disciples of the Hand","Apprenti forgeron","Atteindre le niveau 10 avec la classe forgeron.",5," / ","","ui/icon/035000/035106.tex",3,3,"blacksmith",,,,,,,,,21,1,"AchievementHideCondition#0"
63,"Disciples of the Hand","Forgeron novice","Atteindre le niveau 20 avec la classe forgeron.",5," / ","","ui/icon/035000/035106.tex",3,3,"blacksmith",,,,,,,,,22,1,"AchievementHideCondition#0"
64,"Disciples of the Hand","Forgeron intermédiaire","Atteindre le niveau 30 avec la classe forgeron.",5," / ","","ui/icon/035000/035106.tex",3,3,"blacksmith",,,,,,,,,23,1,"AchievementHideCondition#0"
65,"Disciples of the Hand","Forgeron confirmé","Atteindre le niveau 40 avec la classe forgeron.",5," / ","","ui/icon/035000/035106.tex",3,3,"blacksmith",,,,,,,,,24,1,"AchievementHideCondition#0"
66,"Disciples of the Hand","Forgeron vétéran","Atteindre le niveau 50 avec la classe forgeron.",5," / ","","ui/icon/035000/035106.tex",3,3,"blacksmith",,,,,,,,,25,1,"AchievementHideCondition#0"
67,"Disciples of the Hand","Apprenti armurier","Atteindre le niveau 10 avec la classe armurier.",5," / ","","ui/icon/035000/035203.tex",3,3,"armorer",,,,,,,,,41,1,"AchievementHideCondition#0"
68,"Disciples of the Hand","Armurier novice","Atteindre le niveau 20 avec la classe armurier.",5," / ","","ui/icon/035000/035203.tex",3,3,"armorer",,,,,,,,,42,1,"AchievementHideCondition#0"
69,"Disciples of the Hand","Armurier intermédiaire","Atteindre le niveau 30 avec la classe armurier.",5," / ","","ui/icon/035000/035203.tex",3,3,"armorer",,,,,,,,,43,1,"AchievementHideCondition#0"
70,"Disciples of the Hand","Armurier confirmé","Atteindre le niveau 40 avec la classe armurier.",5," / ","","ui/icon/035000/035203.tex",3,3,"armorer",,,,,,,,,44,1,"AchievementHideCondition#0"
71,"Disciples of the Hand","Armurier vétéran","Atteindre le niveau 50 avec la classe armurier.",5," / ","","ui/icon/035000/035203.tex",3,3,"armorer",,,,,,,,,45,1,"AchievementHideCondition#0"
72,"Disciples of the Hand","Apprenti orfèvre","Atteindre le niveau 10 avec la classe orfèvre.",5," / ","","ui/icon/035000/035301.tex",3,3,"goldsmith",,,,,,,,,61,1,"AchievementHideCondition#0"
73,"Disciples of the Hand","Orfèvre novice","Atteindre le niveau 20 avec la classe orfèvre.",5," / ","","ui/icon/035000/035301.tex",3,3,"goldsmith",,,,,,,,,62,1,"AchievementHideCondition#0"
74,"Disciples of the Hand","Orfèvre intermédiaire","Atteindre le niveau 30 avec la classe orfèvre.",5," / ","","ui/icon/035000/035301.tex",3,3,"goldsmith",,,,,,,,,63,1,"AchievementHideCondition#0"
75,"Disciples of the Hand","Orfèvre confirmé","Atteindre le niveau 40 avec la classe orfèvre.",5," / ","","ui/icon/035000/035301.tex",3,3,"goldsmith",,,,,,,,,64,1,"AchievementHideCondition#0"
76,"Disciples of the Hand","Orfèvre vétéran","Atteindre le niveau 50 avec la classe orfèvre.",5," / ","","ui/icon/035000/035301.tex",3,3,"goldsmith",,,,,,,,,65,1,"AchievementHideCondition#0"
77,"Disciples of the Hand","Apprenti tanneur","Atteindre le niveau 10 avec la classe tanneur.",5," / ","","ui/icon/035000/035404.tex",3,3,"leatherworker",,,,,,,,,81,1,"AchievementHideCondition#0"
78,"Disciples of the Hand","Tanneur novice","Atteindre le niveau 20 avec la classe tanneur.",5," / ","","ui/icon/035000/035404.tex",3,3,"leatherworker",,,,,,,,,82,1,"AchievementHideCondition#0"
79,"Disciples of the Hand","Tanneur intermédiaire","Atteindre le niveau 30 avec la classe tanneur.",5," / ","","ui/icon/035000/035404.tex",3,3,"leatherworker",,,,,,,,,83,1,"AchievementHideCondition#0"
80,"Disciples of the Hand","Tanneur confirmé","Atteindre le niveau 40 avec la classe tanneur.",5," / ","","ui/icon/035000/035404.tex",3,3,"leatherworker",,,,,,,,,84,1,"AchievementHideCondition#0"
81,"Disciples of the Hand","Tanneur vétéran","Atteindre le niveau 50 avec la classe tanneur.",5," / ","","ui/icon/035000/035404.tex",3,3,"leatherworker",,,,,,,,,85,1,"AchievementHideCondition#0"
82,"Disciples of the Hand","Apprenti couturier","Atteindre le niveau 10 avec la classe couturier.",5," / ","","ui/icon/035000/035501.tex",3,3,"weaver",,,,,,,,,101,1,"AchievementHideCondition#0"
83,"Disciples of the Hand","Couturier novice","Atteindre le niveau 20 avec la classe couturier.",5," / ","","ui/icon/035000/035501.tex",3,3,"weaver",,,,,,,,,102,1,"AchievementHideCondition#0"
84,"Disciples of the Hand","Couturier intermédiaire","Atteindre le niveau 30 avec la classe couturier.",5," / ","","ui/icon/035000/035501.tex",3,3,"weaver",,,,,,,,,103,1,"AchievementHideCondition#0"
85,"Disciples of the Hand","Couturier confirmé","Atteindre le niveau 40 avec la classe couturier.",5," / ","","ui/icon/035000/035501.tex",3,3,"weaver",,,,,,,,,104,1,"AchievementHideCondition#0"
86,"Disciples of the Hand","Couturier vétéran","Atteindre le niveau 50 avec la classe couturier.",5," / ","","ui/icon/035000/035501.tex",3,3,"weaver",,,,,,,,,105,1,"AchievementHideCondition#0"
87,"Disciples of the Hand","Apprenti alchimiste","Atteindre le niveau 10 avec la classe alchimiste.",5," / ","","ui/icon/035000/035604.tex",3,3,"alchemist",,,,,,,,,121,1,"AchievementHideCondition#0"
88,"Disciples of the Hand","Alchimiste novice","Atteindre le niveau 20 avec la classe alchimiste.",5," / ","","ui/icon/035000/035604.tex",3,3,"alchemist",,,,,,,,,122,1,"AchievementHideCondition#0"
89,"Disciples of the Hand","Alchimiste intermédiaire","Atteindre le niveau 30 avec la classe alchimiste.",5," / ","","ui/icon/035000/035604.tex",3,3,"alchemist",,,,,,,,,123,1,"AchievementHideCondition#0"
90,"Disciples of the Hand","Alchimiste confirmé","Atteindre le niveau 40 avec la classe alchimiste.",5," / ","","ui/icon/035000/035604.tex",3,3,"alchemist",,,,,,,,,124,1,"AchievementHideCondition#0"
91,"Disciples of the Hand","Alchimiste vétéran","Atteindre le niveau 50 avec la classe alchimiste.",5," / ","","ui/icon/035000/035604.tex",3,3,"alchemist",,,,,,,,,125,1,"AchievementHideCondition#0"
92,"Disciples of the Hand","Apprenti cuisinier","Atteindre le niveau 10 avec la classe cuisinier.",5," / ","","ui/icon/035000/035704.tex",3,3,"culinarian",,,,,,,,,141,1,"AchievementHideCondition#0"
93,"Disciples of the Hand","Cuisinier novice","Atteindre le niveau 20 avec la classe cuisinier.",5," / ","","ui/icon/035000/035704.tex",3,3,"culinarian",,,,,,,,,142,1,"AchievementHideCondition#0"
94,"Disciples of the Hand","Cuisinier intermédiaire","Atteindre le niveau 30 avec la classe cuisinier.",5," / ","","ui/icon/035000/035704.tex",3,3,"culinarian",,,,,,,,,143,1,"AchievementHideCondition#0"
95,"Disciples of the Hand","Cuisinier confirmé","Atteindre le niveau 40 avec la classe cuisinier.",5," / ","","ui/icon/035000/035704.tex",3,3,"culinarian",,,,,,,,,144,1,"AchievementHideCondition#0"
96,"Disciples of the Hand","Cuisinier vétéran","Atteindre le niveau 50 avec la classe cuisinier.",5," / ","","ui/icon/035000/035704.tex",3,3,"culinarian",,,,,,,,,145,1,"AchievementHideCondition#0"
97,"General","Maître de la main","Atteindre le niveau 50 avec les classes menuisier, forgeron, armurier, orfèvre, tanneur, couturier, alchimiste et cuisinier.",20,"Builder of the Realm / Builder of the Realm","","ui/icon/061000/061269.tex",1,26,,,,,,,,,,21,1,"AchievementHideCondition#0"
98,"Disciples of the Land","Apprenti mineur","Atteindre le niveau 10 avec la classe mineur.",5," / ","","ui/icon/038000/038003.tex",3,3,"miner",,,,,,,,,1,1,"AchievementHideCondition#0"
99,"Disciples of the Land","Mineur novice","Atteindre le niveau 20 avec la classe mineur.",5," / ","","ui/icon/038000/038003.tex",3,3,"miner",,,,,,,,,2,1,"AchievementHideCondition#0"
100,"Disciples of the Land","Mineur intermédiaire","Atteindre le niveau 30 avec la classe mineur.",5," / ","","ui/icon/038000/038003.tex",3,3,"miner",,,,,,,,,3,1,"AchievementHideCondition#0"
101,"Disciples of the Land","Mineur confirmé","Atteindre le niveau 40 avec la classe mineur.",5," / ","","ui/icon/038000/038003.tex",3,3,"miner",,,,,,,,,4,1,"AchievementHideCondition#0"
102,"Disciples of the Land","Mineur vétéran","Atteindre le niveau 50 avec la classe mineur.",5," / ","","ui/icon/038000/038003.tex",3,3,"miner",,,,,,,,,5,1,"AchievementHideCondition#0"
103,"Disciples of the Land","Apprenti botaniste","Atteindre le niveau 10 avec la classe botaniste.",5," / ","","ui/icon/038000/038103.tex",3,3,"botanist",,,,,,,,,21,1,"AchievementHideCondition#0"
104,"Disciples of the Land","Botaniste novice","Atteindre le niveau 20 avec la classe botaniste.",5," / ","","ui/icon/038000/038103.tex",3,3,"botanist",,,,,,,,,22,1,"AchievementHideCondition#0"
105,"Disciples of the Land","Botaniste intermédiaire","Atteindre le niveau 30 avec la classe botaniste.",5," / ","","ui/icon/038000/038103.tex",3,3,"botanist",,,,,,,,,23,1,"AchievementHideCondition#0"
106,"Disciples of the Land","Botaniste confirmé","Atteindre le niveau 40 avec la classe botaniste.",5," / ","","ui/icon/038000/038103.tex",3,3,"botanist",,,,,,,,,24,1,"AchievementHideCondition#0"
107,"Disciples of the Land","Botaniste vétéran","Atteindre le niveau 50 avec la classe botaniste.",5," / ","","ui/icon/038000/038103.tex",3,3,"botanist",,,,,,,,,25,1,"AchievementHideCondition#0"
108,"Disciples of the Land","Apprenti pêcheur","Atteindre le niveau 10 avec la classe pêcheur.",5," / ","","ui/icon/038000/038203.tex",3,3,"fisher",,,,,,,,,41,1,"AchievementHideCondition#0"
109,"Disciples of the Land","Pêcheur novice","Atteindre le niveau 20 avec la classe pêcheur.",5," / ","","ui/icon/038000/038203.tex",3,3,"fisher",,,,,,,,,42,1,"AchievementHideCondition#0"
110,"Disciples of the Land","Pêcheur intermédiaire","Atteindre le niveau 30 avec la classe pêcheur.",5," / ","","ui/icon/038000/038203.tex",3,3,"fisher",,,,,,,,,43,1,"AchievementHideCondition#0"
111,"Disciples of the Land","Pêcheur confirmé","Atteindre le niveau 40 avec la classe pêcheur.",5," / ","","ui/icon/038000/038203.tex",3,3,"fisher",,,,,,,,,44,1,"AchievementHideCondition#0"
112,"Disciples of the Land","Pêcheur vétéran","Atteindre le niveau 50 avec la classe pêcheur.",5," / ","","ui/icon/038000/038203.tex",3,3,"fisher",,,,,,,,,45,1,"AchievementHideCondition#0"
113,"General","Maître de la terre","Atteindre le niveau 50 avec les classes mineur, botaniste et pêcheur.",20,"Provider of the Realm / Provider of the Realm","","ui/icon/001000/001981.tex",1,26,,,,,,,,,,22,1,"AchievementHideCondition#0"
114,"Currency","La bonne paye I","Gagner un total de 100 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",5," / ","","ui/icon/025000/025919.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
115,"Currency","La bonne paye II","Gagner un total de 1 000 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",5," / ","","ui/icon/025000/025919.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
116,"Currency","La bonne paye III","Gagner un total de 10 000 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",5," / ","","ui/icon/025000/025919.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
117,"Currency","La bonne paye IV","Gagner un total de 100 000 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",5," / ","","ui/icon/025000/025919.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
118,"Currency","La bonne paye V","Gagner un total de 1 000 000 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",5," / ","","ui/icon/025000/025919.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
119,"Currency","La rançon du succès","Gagner un total de 10 000 000 gils en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant des mandats.",10,"Honest Gillionaire / Honest Gillionaire","","ui/icon/000000/000463.tex",3,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
120,"Currency","Argent trop cher I","Gagner un total de 1 000 gils en vainquant des ennemis.",5," / ","","ui/icon/026000/026001.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
121,"Currency","Argent trop cher II","Gagner un total de 10 000 gils en vainquant des ennemis.",5," / ","","ui/icon/026000/026001.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
122,"Currency","Argent trop cher III","Gagner un total de 100 000 gils en vainquant des ennemis.",5," / ","","ui/icon/026000/026001.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
123,"Currency","Argent trop cher IV","Gagner un total de 1 000 000 gils en vainquant des ennemis.",5," / ","","ui/icon/026000/026001.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
124,"Currency","Argent trop cher V","Gagner un total de 10 000 000 gils en vainquant des ennemis.",5," / ","","ui/icon/026000/026001.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
125,"Currency","Le bonheur est dans le blé","Gagner un total de 100 000 000 gils en vainquant des ennemis.",10,"Ruthless Gillionaire / Ruthless Gillionaire","","ui/icon/000000/000613.tex",0,1,,,,,,,,,,0,1,"AchievementHideCondition#0"
126,"Items","L'habit ne fait pas le templier","Parler à Jonathas, à Gridania, équipé d'un ensemble de templier (coiffe en mailles de templier, haubergeon de templier, solerets de templier et tassette de templier).",5," / ","","ui/icon/040000/040039.tex",4,1,,,,,,,,,,1,1,"AchievementHideCondition#0"
127,"Items","Le roi de la flibuste","Parler à Jonathas, à Gridania, équipé d'un ensemble de boucanier (tricorne de boucanier, chemise de boucanier, bottes de boucanier et écharpe de boucanier).",5," / ","","ui/icon/040000/040599.tex",4,1,,,,,,,,,,2,1,"AchievementHideCondition#0"
